sourceKey,language,legacyId,titleOfficial,officialUrl,officialDateRaw,officialDateNormalized,officialDatePrecision,action,reason,sourceFile,counterpartLegacyId,candidateId,candidateSlug,titleExact,textSimilarity,exactExcerpt,exactContent,sourceContentSha256
en:1986,en,1986,Regulatory Updates in the Hydrocarbons Sector,https://www.vonwobeser.com/index.php/publication?p_id=1986,"July, 2025",2025-07,month,already_reconciled,verified_official_legacy_id_already_present,../mirror/index.php/publication/p_id-1986.html,,eb225870-9313-4f31-9184-d349dd4ac349,regulatory-updates-in-the-hydrocarbons-sector-1986,true,1.0000,true,true,
en:1970,en,1970,Criterion Issued by the Instituto del Fondo Nacional de la Vivienda para los Trabajadores Regarding the Amendment to Article 29 of the INFONAVIT Law,https://www.vonwobeser.com/index.php/publication?p_id=1970,"March, 2025",2025-03,month,already_reconciled,verified_official_legacy_id_already_present,../mirror/index.php/publication/p_id-1970.html,,97c59e33-0043-49f6-87d8-2ca5fad7d84f,criterio-emitido-por-el-instituto-del,true,0.5691,false,false,
en:1966,en,1966,Tax Implications of Recent SAT Invitations on Subcontracting and REPSE,https://www.vonwobeser.com/index.php/publication?p_id=1966,"March, 2025",2025-03,month,already_reconciled,verified_official_legacy_id_already_present,../mirror/index.php/publication/p_id-1966.html,,ba575748-0d94-400a-aa84-3352a5befb68,tax-implications-of-recent-sat-invitations-on-subcontracting-and-repse-1966,true,1.0000,true,true,
es:1985,es,1985,Actualizaciones Regulatorias en el Sector de Hidrocarburos,https://www.vonwobeser.com/index.php/publicacion?p_id=1985,"Julio, 2025",2025-07,month,already_reconciled,verified_official_legacy_id_already_present,../mirror/index.php/publicacion/p_id-1985.html,,58f2be9c-9298-4a84-b2eb-a80391bf5070,actualizaciones-regulatorias-en-el-sector-de,true,0.8862,false,false,
es:1983,es,1983,Ley Silla - Disposiciones sobre los factores de Riesgo de Trabajo,https://www.vonwobeser.com/index.php/publicacion?p_id=1983,"Julio, 2025",2025-07,month,already_reconciled,verified_official_legacy_id_already_present,../mirror/index.php/publicacion/p_id-1983.html,,141c8f8e-30a8-4553-a556-8916e5a4fdba,ley-silla-disposiciones-sobre-los-factores-de,true,0.7751,true,false,
es:1977,es,1977,Simplificación y mejora regulatoria de trámites en materia de PLD,https://www.vonwobeser.com/index.php/publicacion?p_id=1977,"Junio, 2025",2025-06,month,already_reconciled,verified_official_legacy_id_already_present,../mirror/index.php/publicacion/p_id-1977.html,,c3fc99f2-ff4c-4387-abd6-d790f7b26a7c,simplificacion-y-mejora-regulatoria-de,true,0.7310,true,false,
es:1975,es,1975,Se publica iniciativa de reforma a la Ley Federal de Competencia Económica,https://www.vonwobeser.com/index.php/publicacion?p_id=1975,"Abril, 2025",2025-04,month,already_reconciled,verified_official_legacy_id_already_present,../mirror/index.php/publicacion/p_id-1975.html,,7cfc561e-3662-47be-aaa3-2ddeaaddf149,se-publica-iniciativa-de-reforma-a-la-ley,true,0.9419,true,false,
es:1973,es,1973,Nueva Declaración Informativa sobre Ocupación de Inmuebles Habitacionales en la Ciudad de México,https://www.vonwobeser.com/index.php/publicacion?p_id=1973,"Abril, 2025",2025-04,month,already_reconciled,verified_official_legacy_id_already_present,../mirror/index.php/publicacion/p_id-1973.html,,1d71da1b-f62b-4306-ab2e-316272415c17,nueva-declaracion-informativa-sobre,true,0.8792,true,false,
es:1971,es,1971,Nuevas Leyes en materia de Transparencia y Protección de Datos Personales en México,https://www.vonwobeser.com/index.php/publicacion?p_id=1971,"Marzo, 2025",2025-03,month,already_reconciled,verified_official_legacy_id_already_present,../mirror/index.php/publicacion/p_id-1971.html,,208f791b-7acb-4874-bdf4-29c2bb72a659,nuevas-leyes-en-materia-de,true,0.9278,true,false,
es:1969,es,1969,Criterio emitido por el Instituto del Fondo Nacional de la Vivienda para los Trabajadores respecto de la Reforma al Artículo 29 de la Ley del INFONAVIT,https://www.vonwobeser.com/index.php/publicacion?p_id=1969,"Marzo, 2025",2025-03,month,covered_by_verified_bilingual_counterpart,official_language_counterpart_already_present,../mirror/index.php/publicacion/p_id-1969.html,1970,97c59e33-0043-49f6-87d8-2ca5fad7d84f,criterio-emitido-por-el-instituto-del,true,0.5691,false,false,
es:1967,es,1967,Nuevas Leyes Secundarias para el Sector Eléctrico (Segunda Parte),https://www.vonwobeser.com/index.php/publicacion?p_id=1967,"Marzo, 2025",2025-03,month,already_reconciled,verified_official_legacy_id_already_present,../mirror/index.php/publicacion/p_id-1967.html,,238873f6-31e5-4b53-9526-2e23b4012653,nuevas-leyes-secundarias-para-el-sector,true,0.9812,true,false,
es:1965,es,1965,Implicaciones Fiscales de las Recientes Invitaciones del SAT sobre Subcontratación Y REPSE,https://www.vonwobeser.com/index.php/publicacion?p_id=1965,"Marzo, 2025",2025-03,month,already_reconciled,verified_official_legacy_id_already_present,../mirror/index.php/publicacion/p_id-1965.html,,f7065f97-30c1-4ccf-a67e-99ad8404a02d,implicaciones-fiscales-de-las-recientes,true,0.9218,true,false,
es:1963,es,1963,Entran en vigor Disposiciones para la integración de Sistemas de Almacenamiento de Energía Eléctrica al Sistema Eléctrico Nacional.,https://www.vonwobeser.com/index.php/publicacion?p_id=1963,"Marzo, 2025",2025-03,month,already_reconciled,verified_official_legacy_id_already_present,../mirror/index.php/publicacion/p_id-1963.html,,ddf693b2-43c4-4891-9920-702dff51a66a,entran-en-vigor-disposiciones-para-la,true,0.8822,true,false,
